customer_id,first_name,last_name,age,gender,postal_code,email,phone_number,membership_status,join_date,last_purchase_date,total_spending,average_order_value,frequency,preferred_category,churned
101,Léa,King,23,M,69003,lking@orange.fr,+33765451688,Basic,2023-09-16,2023-09-11,205.92,7.92,26,Macaron,False
102,Chloé,Smith,31,F,69006,csmith@hotmail.com,+33527657704,Gold,2023-09-28,2023-07-20,744.21,31.01,24,Bread,False
103,Harper,Robinson,38,M,69006,harperr@yahoo.com,+33148254771,Basic,2022-01-25,2023-11-12,929.52,42.25,22,Pastries,False
104,Ethan,Rodriguez,54,F,69001,ethan_rodriguez@yandex.com,+33118046627,Basic,2023-09-17,2023-07-17,731.21,33.24,22,Macaron,False
105,Ava,Allen,50,F,69006,ava.allen@hotmail.com,+33267246001,Silver,2023-05-13,2023-05-18,629.48,16.57,38,Bread,True
106,Amélie,Schmidt,45,F,69003,amélie.schmidt@protonmail.com,+33410798418,Gold,2023-11-18,2023-12-01,776.1,38.8,20,Bread,False
107,Mia,Leroy,67,F,69003,mia.leroy@yahoo.com,+33440143651,Gold,2021-05-27,2023-03-09,840.89,36.56,23,Pastries,True
108,Finn,Weber,34,F,69003,finnw@laposte.net,+33249004719,Silver,2023-01-08,2023-12-13,455.76,455.76,1,Pastries,False
109,Chloe,Dubois,21,F,69007,chloed@yahoo.com,+33124046901,Basic,2023-05-15,2023-01-05,579.15,115.83,5,Pastries,True
110,Hannah,Miller,28,F,69007,hmiller@web.de,+33574978190,Silver,2023-08-06,2023-09-12,704.1,25.15,28,Pastries,False
111,Harry,Hoffmann,48,F,69002,harry.hoffmann@laposte.net,+33413173236,Silver,2022-11-06,2023-06-09,920.32,61.35,15,Tarte,False
112,Henry,Harris,40,F,69007,henryharris@outlook.com,+33482989535,Silver,2021-06-03,2023-03-26,709.73,17.31,41,Pastries,True
113,James,Moreau,67,M,69001,james_moreau@outlook.com,+33378908896,Gold,2022-03-15,2023-07-12,266.9,7.63,35,Tarte,False
114,Charlotte,Adams,38,F,69007,charlottea@web.de,+33551328360,Basic,2022-04-01,2023-10-13,468.31,11.42,41,Tarte,False
115,Paul,Richard,25,F,69007,paul.richard@yandex.com,+33724009690,Silver,2022-10-15,2023-12-13,566.45,15.31,37,Pastries,False
116,Benjamin,Garcia,59,F,69001,benjamin_garcia@protonmail.com,+33844144576,Basic,2021-02-20,2023-09-10,713.8,18.3,39,Bread,False
117,Emma,Meyer,18,M,69006,emmam@yahoo.com,+33304782347,Gold,2021-01-07,2023-12-20,341.27,17.96,19,Macaron,False
118,Amelia,Bernard,36,F,69002,ameliab@outlook.com,+33767729771,Gold,2023-08-18,2023-12-19,619.42,15.49,40,Pastries,False
119,Sophie,Anderson,24,M,69003,sophie.anderson@free.fr,+33355106205,Basic,2023-09-24,2023-01-28,507.18,56.35,9,Bread,True
120,Lukas,Hall,66,M,69002,lhall@protonmail.com,+33682568671,Silver,2021-04-18,2023-06-13,380.82,13.13,29,Pastries,False
121,Alexander,White,49,M,69001,alexander_white@icloud.com,+33402406005,Gold,2021-07-09,2023-12-13,708.7,78.74,9,Pastries,False
122,Thomas,Johnson,21,M,69003,thomasj@orange.fr,+33940215217,Basic,2023-07-11,2023-10-16,160.38,5.17,31,Bread,False
123,Lucas,Martin,19,M,69003,lucas_martin@free.fr,+33659507525,Gold,2022-10-20,2023-09-08,248.04,22.55,11,Bread,False
124,Marie,Müller,47,F,69002,mariem@orange.fr,+33452993536,Silver,2021-08-01,2023-12-22,724.87,241.62,3,Macaron,False
125,Oliver,Schneider,47,F,69002,olivers@yahoo.com,+33704360544,Gold,2022-06-09,2023-12-09,179.67,7.49,24,Pastries,False
126,Louis,Robert,62,M,69001,louis_robert@hotmail.com,+33587452449,Silver,2023-01-09,2023-01-03,669.56,17.17,39,Bread,True
127,Hugo,Scott,48,M,69003,hugos@gmx.de,+33499807451,Silver,2022-10-04,2023-04-02,72.08,36.04,2,Macaron,True
128,Liam,Becker,46,M,69002,lbecker@gmail.com,+33902788660,Basic,2023-06-02,2023-05-28,854.2,17.08,50,Pastries,True
129,William,Martinez,36,F,69003,wmartinez@gmx.de,+33694459920,Silver,2023-07-25,2023-09-21,617.9,12.87,48,Pastries,False
130,Mason,Thompson,23,F,69006,masont@yandex.com,+33945107978,Gold,2023-07-22,2023-07-27,468.12,17.34,27,Tarte,False
131,Jack,Fischer,63,F,69002,jack_fischer@free.fr,+33521290487,Silver,2021-02-20,2023-02-25,135.05,4.82,28,Macaron,True
132,Noah,Lewis,53,M,69006,noah.lewis@icloud.com,+33540002343,Silver,2022-08-09,2023-01-25,493.63,17.63,28,Bread,True
133,Emily,Walker,41,F,69001,emilywalker@icloud.com,+33114831632,Basic,2021-03-21,2023-12-19,63.03,1.47,43,Tarte,False
134,Isabella,Laurent,57,F,69003,isabellal@free.fr,+33610996118,Basic,2021-08-16,2023-07-15,313.07,104.36,3,Macaron,False
135,Emma,Brown,25,M,69006,emma.brown@gmx.de,+33990381653,Silver,2023-07-28,2023-09-23,224.73,28.09,8,Pastries,False
136,Leon,Jackson,53,F,69003,leon.jackson@gmail.com,+33841617689,Silver,2022-08-05,2023-11-17,247.61,6.04,41,Pastries,False
137,Sophia,Young,42,M,69001,sophia_young@mail.com,+33409929467,Basic,2022-11-02,2023-11-02,571.91,571.91,1,Pastries,False
138,Olivia,Clark,70,F,69006,olivia.clark@wanadoo.fr,+33524492943,Silver,2021-07-08,2023-04-14,715.55,14.6,49,Macaron,True
139,Sophie,Petit,20,F,69006,sophiep@yandex.com,+33345123788,Gold,2021-03-12,2023-07-10,704.28,176.07,4,Tarte,False
140,Léa,Wilson,30,F,69006,lwilson@hotmail.com,+33188991222,Gold,2023-06-06,2023-02-10,703.87,24.27,29,Bread,True
141,Chloé,Durand,46,M,69003,chloé.durand@outlook.com,+33345216771,Silver,2021-04-11,2023-09-21,342.51,12.23,28,Tarte,False
142,Harper,Baker,64,M,69001,harper.baker@yandex.com,+33991903375,Basic,2023-10-14,2023-09-10,134.98,5.4,25,Tarte,False
143,Ethan,Schulz,44,F,69006,ethanschulz@yandex.com,+33722079967,Basic,2022-03-21,2023-12-07,443.88,34.14,13,Macaron,False
144,Ava,Moore,20,M,69001,ava.moore@yandex.com,+33148195313,Basic,2021-07-27,2023-11-15,72.67,3.82,19,Pastries,False
145,Amélie,Wright,62,M,69002,amélie.wright@hotmail.com,+33490953652,Silver,2023-03-13,2023-10-06,82.35,2.5,33,Pastries,False
146,Mia,Thomas,52,M,69007,mia_thomas@orange.fr,+33159115971,Silver,2021-08-04,2023-09-02,108.22,2.21,49,Bread,False
147,Finn,Simon,55,M,69007,fsimon@protonmail.com,+33587152919,Gold,2022-09-10,2023-12-11,792.34,20.85,38,Pastries,False
148,Chloe,Taylor,29,F,69003,chloet@free.fr,+33662680686,Basic,2023-03-26,2023-08-12,499.59,62.45,8,Macaron,False
149,Hannah,Wagner,49,F,69001,hannah.wagner@gmail.com,+33428721077,Basic,2021-06-11,2023-12-07,578.68,22.26,26,Tarte,False
150,Harry,Green,65,F,69002,harrygreen@protonmail.com,+33737394614,Gold,2022-11-23,2023-03-23,131.69,2.99,44,Tarte,True
151,Henry,King,35,M,69003,hking@gmx.de,+33239485547,Basic,2021-09-07,2023-10-27,481.66,14.6,33,Tarte,False
152,James,Smith,35,F,69006,james_smith@laposte.net,+33678413665,Gold,2021-08-17,2023-07-13,740.88,21.17,35,Macaron,False
153,Charlotte,Robinson,32,M,69002,charlotter@wanadoo.fr,+33812517973,Gold,2021-08-13,2023-11-23,361.8,9.52,38,Pastries,False
154,Paul,Rodriguez,42,M,69007,paul_rodriguez@laposte.net,+33763271657,Silver,2021-09-18,2023-01-23,363.27,181.63,2,Macaron,True
155,Benjamin,Allen,43,M,69001,benjamin_allen@yahoo.com,+33447016493,Basic,2021-08-08,2023-06-01,266.39,15.67,17,Bread,False
156,Emma,Schmidt,66,F,69001,emma_schmidt@outlook.com,+33572120136,Gold,2022-06-03,2023-07-24,682.74,62.07,11,Bread,False
157,Amelia,Leroy,45,M,69003,aleroy@orange.fr,+33375075727,Basic,2022-03-18,2023-06-16,523.49,43.62,12,Macaron,False
158,Sophie,Weber,43,M,69007,sophie_weber@gmail.com,+33681949075,Basic,2023-11-14,2023-08-20,939.23,19.17,49,Macaron,False
159,Lukas,Dubois,41,F,69006,ldubois@yahoo.com,+33378335390,Gold,2023-09-26,2023-06-16,687.82,36.2,19,Macaron,False
160,Alexander,Miller,50,F,69003,alexander.miller@orange.fr,+33892779814,Silver,2023-05-28,2023-12-03,629.95,314.98,2,Macaron,False
161,Thomas,Hoffmann,66,F,69003,thomas.hoffmann@mail.com,+33506058783,Basic,2021-06-08,2023-05-15,944.89,67.49,14,Pastries,True
162,Lucas,Harris,26,F,69003,lharris@orange.fr,+33368867744,Gold,2023-10-03,2023-11-19,995.14,23.14,43,Pastries,False
163,Marie,Moreau,20,M,69001,mmoreau@wanadoo.fr,+33311370885,Silver,2023-05-02,2023-09-23,614.36,12.54,49,Tarte,False
164,Oliver,Adams,60,F,69006,olivera@free.fr,+33682485084,Silver,2021-04-18,2023-04-09,369.05,8.58,43,Tarte,True
165,Louis,Richard,45,M,69001,louisrichard@gmx.de,+33673494636,Silver,2022-06-06,2023-02-22,617.23,17.15,36,Pastries,True
166,Hugo,Garcia,22,M,69001,hugog@free.fr,+33798344858,Silver,2023-04-19,2023-07-02,793.86,28.35,28,Pastries,False
167,Liam,Meyer,28,M,69003,liam.meyer@web.de,+33666083986,Silver,2021-12-17,2023-04-26,904.08,27.4,33,Bread,True
168,William,Bernard,63,M,69001,william_bernard@mail.com,+33430426320,Gold,2022-11-23,2023-08-08,884.95,44.25,20,Macaron,False
