CustomerId,FirstName,LastName,Age,Gender,PostalCode,Email,PhoneNumber,MembershipStatus,JoinDate,LastPurchaseDate
101,Alex,Martin,52,F,69001,alex.martin@orange.fr,+33 781106116,Gold,2021-02-04,2023-05-16
102,Antoine,Roux,35,M,69003,antoine.roux@hotmail.fr,+33 738168698,Basic,2021-08-16,2023-06-22
103,Camille,Bernard,66,F,69002,camille.bernard@outlook.com,+33 716521330,Basic,2023-02-17,2023-10-23
104,Théo,Bertrand,68,M,69003,théo.bertrand@orange.fr,+33 614547044,Basic,2022-04-08,2023-01-26
105,Théo,Petit,28,M,69003,théo.petit@free.fr,+33 604756317,Basic,2023-04-04,2023-12-10
106,Chloe,Dubois,68,M,69007,chloe.dubois@outlook.com,+33 759753258,Silver,2021-08-04,2023-03-10
107,Théo,Martin,55,M,69003,théo.martin@orange.fr,+33 722790088,Basic,2022-09-05,2023-06-03
108,Pierre,Dubois,50,F,69007,pierre.dubois@orange.fr,+33 652375142,Basic,2022-01-23,2023-06-27
109,Théo,Petit,18,M,69006,théo.petit@gmail.com,+33 754036278,Basic,2021-11-11,2023-04-06
110,Camille,Bertrand,38,M,69002,camille.bertrand@orange.fr,+33 619198053,Silver,2021-12-20,2023-02-22
111,Marie,David,61,M,69002,marie.david@yahoo.com,+33 763262706,Silver,2023-04-05,2023-08-12
112,Pierre,Blanc,34,F,69002,pierre.blanc@free.fr,+33 723612825,Basic,2023-01-28,2023-05-06
113,Théo,David,42,F,69002,théo.david@yahoo.com,+33 614075332,Basic,2023-08-22,2023-08-27
114,Manon,Moreau,47,M,69003,manon.moreau@free.fr,+33 694859197,Basic,2023-04-01,2023-08-22
115,Marie,Garcia,59,F,69007,marie.garcia@orange.fr,+33 627338143,Basic,2023-10-06,2023-08-08
116,Jean,Moreau,33,M,69003,jean.moreau@orange.fr,+33 728287509,Basic,2021-03-14,2023-12-21
117,Léa,Lefevre,60,F,69001,léa.lefevre@hotmail.fr,+33 759507156,Basic,2022-12-15,2023-01-01
118,Manon,Leroy,43,M,69007,manon.leroy@free.fr,+33 637968346,Basic,2023-09-21,2023-03-08
119,Camille,Petit,31,F,69002,camille.petit@gmail.com,+33 612259871,Silver,2022-12-04,2023-09-05
120,Manon,Morel,26,M,69003,manon.morel@hotmail.fr,+33 605054843,Basic,2022-06-23,2023-04-22
121,Marie,Girard,61,M,69001,marie.girard@hotmail.fr,+33 717292630,Basic,2023-04-04,2023-12-18
